lat,long,price
47.6878,-122.331,640000
47.556,-122.363,520000
47.5861,-122.113,1.15E+06
47.5705,-122.175,650000
47.6635,-122.32,660000
47.6927,-122.338,599999
47.6374,-122.324,700000
47.6604,-122.289,1.28E+06
47.5923,-122.301,450000
47.6684,-122.309,1.40E+06
47.6654,-122.307,934000
47.6086,-122.303,490000
47.6316,-122.202,2.15E+06
47.4859,-122.205,373000
47.7565,-122.331,340000
47.6675,-122.316,700000
47.6732,-122.363,900000
47.634,-122.221,1.65E+06
47.6617,-122.289,808000
47.4786,-122.131,430000
47.6241,-122.305,680000
47.631,-122.303,1.97E+06
47.6263,-122.314,3.30E+06
47.7111,-122.211,575000
47.5666,-122.231,1.95E+06
47.7555,-122.307,420000
47.5102,-122.183,350000
47.538,-122.223,884900
47.4643,-122.368,800000
47.6454,-122.316,750000
47.6203,-122.149,950000
47.4654,-122.003,600000
47.6336,-122.115,770000
47.6307,-122.354,3.20E+06
47.5259,-122.279,450000
47.6029,-122.147,999000
47.7121,-122.332,575000
47.4644,-122.066,310000
47.5835,-122.313,853800
47.6981,-122.349,550000
47.6787,-122.168,597157
47.7153,-122.327,475000
47.595,-122.04,936000
47.6684,-122.319,730000
47.5432,-122.277,291000
47.7302,-122.291,565000
47.6675,-121.986,2.28E+06
47.52,-122.338,419000
47.6295,-122.285,2.89E+06
47.7493,-122.355,450000
47.6025,-122.294,599000
47.6183,-122.227,2.45E+06
47.6221,-122.208,2.30E+06
47.6781,-122.376,727160
47.7393,-122.289,540000
47.3191,-122.177,280000
47.7011,-122.392,1.19E+06
47.6775,-122.39,580000
47.4812,-122.033,840000
47.6123,-122.134,539000
47.5399,-122.118,1.24E+06
47.6375,-122.388,824000
47.7067,-122.343,464000
47.3103,-122.339,315000
47.3376,-122.324,472000
47.42,-122.323,279000
47.5521,-122.137,1.07E+06
47.6033,-121.943,1.60E+06
47.6368,-122.097,750000
47.7142,-122.286,452000
47.7142,-122.286,730000
47.6261,-122.125,650000
47.6061,-122.117,662500
47.7152,-122.162,435000
47.7208,-122.182,482500
47.7021,-122.287,632000
47.562,-122.279,680000
47.5116,-122.163,484000
47.7209,-122.372,847000
47.5631,-122.21,5.30E+06
47.5816,-122.296,585444
47.3054,-122.305,235000
47.506,-122.241,612000
47.5211,-122.157,900000
47.6078,-122.157,1.30E+06
47.5833,-122.242,900000
47.6684,-122.331,775000
47.7556,-122.352,520500
47.7735,-122.378,442500
47.5122,-122.385,480000
47.6873,-122.333,1.13E+06
47.4514,-122.273,598800
47.7166,-122.293,430000
47.3054,-122.221,370000
47.54,-122.382,767500
47.5543,-122.275,302000
47.5342,-122.036,380000
47.4871,-122.219,495000
47.5584,-122.283,665000
47.5115,-122.256,400000
47.1879,-121.973,487000
47.3262,-122.214,280000
47.3262,-122.214,300000
47.6999,-122.393,1.25E+06
47.549,-122.173,603500
47.6754,-122.307,705000
47.5726,-122.213,1.00E+06
47.5533,-122.11,1.38E+06
47.7252,-122.187,470000
47.579,-122.39,545000
47.6935,-122.28,779000
47.6976,-122.381,838300
47.6816,-122.038,635000
47.7589,-122.216,516250
47.7705,-122.269,387500
47.4708,-122.015,670000
47.4388,-122.339,580000
47.6458,-122.32,1.68E+06
47.627,-122.361,700000
47.4869,-122.34,175000
47.4869,-122.34,326000
47.6342,-122.353,563000
47.5329,-122.294,335000
47.715,-122.121,735000
47.453,-122.118,570000
47.6116,-122.169,740000
47.5707,-122.129,680000
47.401,-122.095,540000
47.5096,-122.178,315000
47.6553,-122.19,698000
47.7226,-122.299,527000
47.546,-122.175,815000
47.5837,-122.399,1.30E+06
47.6938,-122.34,752000
47.5696,-122.213,1.05E+06
47.5656,-122.372,643500
47.5288,-122.345,360000
47.7663,-122.234,475000
47.6631,-122.348,725000
47.6381,-122.314,1.13E+06
47.5601,-122.16,1.39E+06
47.6514,-122.369,755000
47.6695,-122.337,1.30E+06
47.4608,-122.196,300000
47.6813,-122.187,655000
47.5335,-122.272,194990
47.7692,-122.219,610000
47.6024,-122.295,823000
47.5959,-122.3,525000
47.5518,-122.266,665000
47.5771,-122.38,880000
47.5719,-122.284,895000
47.565,-122.37,420000
47.6531,-122.405,1.11E+06
47.7599,-122.375,1.06E+06
47.6227,-122.323,799200
47.7636,-122.294,410000
47.6255,-122.209,800000
47.6515,-122.277,3.65E+06
47.3864,-122.223,330000
47.5517,-122.268,415000
47.6721,-122.323,535000
47.6466,-122.304,685000
47.5401,-121.879,620000
47.6198,-122.105,600000
47.4919,-122.181,300000
47.6131,-122.145,725000
47.6298,-122.323,7.70E+06
47.412,-122.168,800000
47.6025,-122.152,609000
47.6259,-122.291,1.98E+06
47.4126,-122.165,250000
47.6795,-122.104,510000
47.6301,-122.369,1.47E+06
47.5503,-122.137,1.13E+06
47.7661,-122.313,499000
47.6322,-122.216,1.65E+06
47.7099,-122.23,508000
47.6427,-122.408,3.20E+06
47.6309,-122.103,664000
47.5533,-122.304,440000
47.6626,-122.269,1.87E+06
47.616,-122.115,610000
47.6798,-122.206,619500
47.3244,-122.217,389000
47.5508,-122.355,330000
47.5873,-122.299,751000
47.5462,-122.265,1.49E+06
47.7188,-122.185,429300
47.4045,-122.197,290000
47.6748,-122.384,848750
47.5464,-122.116,1.33E+06
47.5552,-122.3,384000
47.7351,-122.295,350000
47.7351,-122.295,682500
47.6309,-122.093,583000
47.4594,-122.273,240000
47.6305,-122.24,6.89E+06
47.5512,-122.11,1.68E+06
47.4414,-122.129,317500
47.6796,-122.113,604000
47.5556,-122.294,449500
47.694,-122.34,760000
47.5914,-122.134,730000
47.7037,-122.296,305000
47.7037,-122.296,649950
47.762,-122.335,375000
47.6557,-122.344,920000
47.6612,-122.137,650000
47.5398,-121.869,1.14E+06
47.565,-122.144,893880
47.6408,-122.153,1.15E+06
47.5029,-122.188,326000
47.3046,-122.305,230000
47.2983,-122.166,400000
47.5886,-122.113,502000
47.6798,-122.104,510000
47.34,-122.327,465000
47.5549,-122.287,326000
47.6785,-122.396,1.02E+06
47.498,-122.225,354000
47.6041,-122.31,660000
47.7349,-122.295,592500
47.6842,-122.363,865000
47.4788,-122.227,317000
47.6506,-122.332,1.13E+06
47.6263,-122.312,1.75E+06
47.636,-122.171,705000
47.5739,-122.069,968000
47.7506,-122.012,1.14E+06
47.4379,-122.146,400000
47.6883,-122.335,869900
47.7476,-122.087,395000
47.7722,-122.204,435000
47.6146,-122.306,739000
47.398,-122.081,400000
47.5525,-122.3,385000
47.5238,-122.35,175000
47.5238,-122.35,415000
47.6637,-122.316,680000
47.5924,-122.287,1.90E+06
47.6366,-122.362,1.31E+06
47.5552,-122.231,3.10E+06
47.5305,-122.353,315000
47.4751,-122.145,360000
47.6789,-122.397,950000
47.6648,-122.324,599950
47.4874,-122.202,230000
47.676,-122.309,780000
47.7517,-122.233,1.13E+06
47.4223,-122.343,570000
47.7642,-122.098,585000
47.3859,-122.221,300000
47.575,-122.033,624500
47.6751,-122.38,733000
47.627,-122.304,1.50E+06
47.6295,-122.306,1.23E+06
47.5508,-122.189,975000
47.622,-122.14,605000
47.6307,-122.367,2.40E+06
47.6356,-122.15,1.10E+06
47.6791,-122.374,850000
47.4398,-122.08,405000
47.5699,-122.226,1.52E+06
47.6031,-122.296,432500
47.5062,-122.385,675000
47.6728,-122.362,715000
47.2668,-122.252,230000
47.5622,-122.003,1.15E+06
47.5722,-122.226,900000
47.2069,-121.989,325000
47.4429,-122.282,320000
47.5209,-122.052,611000
47.7158,-121.966,640000
47.4488,-122.356,799950
47.6404,-122.361,989000
47.6464,-122.401,696000
47.6796,-122.104,510000
47.492,-122.364,497300
47.6971,-122.341,650000
47.5849,-122.113,887000
47.5156,-122.204,875000
47.5382,-122.114,1.75E+06
47.7218,-122.312,450000
47.6688,-122.309,875000
47.6285,-122.304,2.14E+06
47.303,-122.221,300000
47.6056,-122.311,835000
47.7602,-122.372,1.07E+06
47.3222,-122.362,375900
47.5282,-122.269,435000
47.6629,-122.325,725000
47.6025,-122.153,630000
47.3738,-122.226,325000
47.7612,-122.381,2.01E+06
47.6862,-122.31,642000
47.4969,-122.376,975000
47.5468,-122.267,850000
47.6716,-122.199,830000
47.4459,-122.278,376000
47.678,-122.373,900000
47.6832,-122.311,493000
47.4635,-122.362,543200
47.6361,-122.366,2.63E+06
47.6127,-122.145,665000
47.7089,-122.201,360000
47.7089,-122.201,692500
47.5411,-122.133,925850
47.6622,-122.272,2.18E+06
47.669,-122.365,890000
47.5956,-122.178,810000
47.2977,-122.227,260000
47.3724,-122.105,359500
47.3841,-122.288,265000
47.5791,-122.23,959000
47.4574,-122.003,710000
47.407,-122.216,550000
47.6643,-122.29,580000
47.3651,-122.197,480000
47.5441,-122.117,915000
47.6214,-122.062,780000
47.5687,-122.291,729999
47.6547,-122.202,2.35E+06
47.2773,-122.216,300000
47.6356,-122.373,1.50E+06
47.5947,-122.039,1.18E+06
47.6236,-122.023,859950
47.6094,-122.023,1.28E+06
47.369,-122.287,375000
47.3045,-122.211,343000
47.6892,-122.389,677790
47.5205,-122.288,303500
47.5297,-122.155,1.17E+06
47.5173,-122.286,462500
47.67,-122.394,530000
47.3266,-122.169,285000
47.6848,-122.016,861990
47.4934,-122.189,345000
47.6571,-122.281,920000
47.588,-122.116,951000
47.6303,-122.215,1.33E+06
47.6525,-122.16,1.04E+06
47.2909,-122.189,305000
47.6506,-122.391,1.10E+06
47.6417,-122.109,470000
47.6763,-122.352,822500
47.5707,-122.128,527700
47.3887,-122.286,258000
47.525,-122.172,650000
47.4877,-122.335,255000
47.5868,-122.308,399950
47.6627,-122.188,1.10E+06
47.5673,-122.21,1.51E+06
47.6489,-122.183,1.03E+06
47.6166,-122.287,2.05E+06
47.7564,-122.144,467000
47.5461,-122.151,675000
47.529,-121.837,201000
47.6345,-122.367,2.38E+06
47.6759,-122.151,819900
47.4769,-122.141,380000
47.5651,-122.164,795000
47.2813,-122.345,380000
47.5543,-122.148,1.35E+06
47.5976,-122.118,530000
47.5954,-121.95,1.55E+06
47.4546,-122.337,310000
47.633,-122.041,722500
47.7206,-122.211,475000
47.5645,-122.082,1.28E+06
47.7081,-122.215,669950
47.6554,-122.018,1.10E+06
47.7546,-122.341,515000
47.667,-122.289,671500
47.5502,-122.311,442000
47.6136,-122.299,650000
47.7679,-122.261,595000
47.5462,-122.182,802541
47.5553,-122.22,1.48E+06
47.5896,-122.083,700000
47.7573,-122.22,405000
47.4938,-122.255,350000
47.5511,-122.157,942500
47.5132,-122.262,405600
47.7751,-122.38,465250
47.6196,-122.286,2.25E+06
47.3109,-122.376,218000
47.746,-122.218,625000
47.539,-122.188,682000
47.2635,-122.209,327000
47.3122,-122.191,289999
47.6209,-122.222,1.27E+06
47.6094,-122.291,700000
47.5922,-122.146,431650
47.5368,-122.216,980000
47.5728,-122.304,550000
47.4599,-122.172,290000
47.7096,-122.199,545000
47.7174,-122.282,971000
47.6364,-122.3,915000
47.5453,-122.278,435000
47.3908,-122.173,469500
47.5702,-122.128,718000
47.4997,-122.364,395000
47.6849,-122.018,1.04E+06
47.5415,-122.18,470500
47.696,-122.102,837700
47.5831,-122.191,730000
47.5306,-122.134,1.57E+06
47.6051,-122.319,631000
47.7377,-121.974,624000
47.5557,-122.027,975000
47.5014,-122.172,272000
47.5014,-122.172,369000
47.5965,-122.311,380000
47.3737,-122.115,267500
47.6767,-122.211,5.11E+06
47.533,-122.354,357000
47.7733,-122.318,392400
47.617,-122.282,1.88E+06
47.6189,-122.288,1.23E+06
47.7338,-122.352,399000
47.5196,-122.049,495000
47.3661,-122.28,321000
47.644,-122.353,682000
47.5506,-122.269,614000
47.2996,-122.342,556000
47.6737,-122.169,567000
47.5531,-122.119,960000
47.7053,-122.34,729953
47.6393,-122.097,2.20E+06
47.654,-122.342,830000
47.6831,-122.186,470000
47.7597,-122.079,480000
47.6232,-122.22,5.35E+06
47.6903,-122.38,515000
47.5421,-122.229,1.33E+06
47.3155,-122.347,229950
47.444,-122.19,300000
47.7291,-122.363,1.10E+06
47.7752,-122.197,413000
47.5943,-122.133,713000
47.5968,-122.127,555000
47.6919,-122.294,932800
47.5364,-121.858,937500
47.5369,-121.888,539950
47.4961,-122.063,780000
47.5484,-122.269,810000
47.588,-122.118,561750
47.5536,-122.283,349950
47.5572,-122.281,445000
47.3473,-122.085,440000
47.5562,-122.22,830000
47.6848,-122.398,620000
47.5774,-122.222,1.68E+06
47.7201,-122.062,600000
47.4797,-122.179,445000
47.6845,-122.332,780000
47.5678,-122.032,850000
47.5593,-122.3,531000
47.6416,-122.355,1.18E+06
47.4324,-122.145,330000
47.4407,-122.275,300000
47.5333,-122.392,607000
47.7172,-122.349,565000
47.6482,-122.412,1.57E+06
47.3717,-122.104,315000
47.6273,-122.123,685000
47.5866,-122.171,550000
47.461,-122,668000
47.5707,-122.394,345000
47.5133,-122.031,850000
47.5932,-122.058,820000
47.3466,-122.323,740000
47.319,-122.344,255000
47.5173,-122.275,333800
47.6664,-122.045,930800
47.4891,-122.19,471750
47.5379,-122.378,560000
47.4882,-122.339,275000
47.7022,-122.227,835000
47.6647,-122.337,462000
47.6265,-122.312,875000
47.555,-122.114,1.20E+06
47.4852,-122.305,248000
47.6003,-122.206,1.64E+06
47.5812,-121.995,989000
47.5833,-122.073,585000
47.5883,-122.111,1.70E+06
47.4911,-122.17,345000
47.6949,-122.37,488000
47.6275,-122.227,1.55E+06
47.6474,-122.11,605000
47.6456,-122.389,1.05E+06
47.6039,-122.059,875000
47.6501,-122.37,1.00E+06
47.7454,-121.977,455000
47.4232,-122.324,210000
47.5922,-122.207,2.75E+06
47.6388,-122.3,585000
47.6866,-122.317,605000
47.6518,-122.16,900000
47.6599,-122.146,898000
47.7482,-122.244,459000
47.4756,-122.294,230000
47.5615,-122.279,719000
47.5488,-122.298,437000
47.7261,-122.17,650000
47.5396,-121.998,808900
47.6154,-122.283,1.60E+06
47.4461,-122.208,485000
47.5696,-122.156,1.13E+06
47.5025,-122.142,200000
47.6434,-122.115,740000
47.7074,-122.101,739900
47.5829,-122.247,1.70E+06
47.6108,-122.06,640000
47.5903,-122.157,549000
47.7734,-122.315,336800
47.6005,-122.204,895000
47.3539,-122.024,337500
47.3714,-122.103,355000
47.544,-122.126,1.60E+06
47.7493,-122.28,4.50E+06
47.4952,-122.068,590000
47.6322,-122.053,610000
47.3774,-122.16,350000
47.7085,-122.117,830000
47.6685,-122.305,580000
47.487,-122.282,239950
47.5373,-121.865,1.11E+06
47.5585,-122.117,749999
47.3655,-122.174,340000
47.598,-122.019,726000
47.7736,-122.371,722500
47.5664,-122.129,866059
47.5008,-122.162,268000
47.6346,-122.011,960000
47.5761,-122.205,1.61E+06
47.5086,-122.258,415000
47.3035,-122.307,175000
47.6368,-122.218,845000
47.653,-122.415,1.39E+06
47.6784,-122.285,865000
47.4615,-122,593500
47.6056,-122.305,534000
47.5373,-122.224,1.25E+06
47.6499,-122.216,3.00E+06
47.7565,-122.284,685000
47.4384,-122.347,738000
47.6249,-122.311,1.13E+06
47.4565,-122.066,699000
47.3167,-122.214,250750
47.4948,-122.37,765000
47.7074,-122.349,485000
47.4393,-122.347,530000
47.5959,-122.291,950000
47.7246,-122.284,985000
47.6651,-122.19,1.13E+06
47.6612,-122.363,752500
47.5862,-122.054,805000
47.4938,-122.262,178000
47.7653,-122.077,528000
47.5444,-121.881,632500
47.5135,-122.2,739000
47.6028,-122.298,464000
47.5488,-122.197,1.00E+06
47.6341,-122.208,1.31E+06
47.6203,-122.212,1.97E+06
47.6387,-122.177,1.00E+06
47.3488,-122.095,549900
47.7589,-122.277,569000
47.3937,-122.323,380000
47.6134,-122.112,905000
47.5773,-122.226,1.10E+06
47.4468,-122.341,403500
47.6306,-122.288,2.54E+06
47.6995,-122.174,465000
47.7161,-122.219,1.29E+06
47.736,-122.295,345950
47.558,-122.266,805000
47.3727,-122.177,373000
47.5869,-121.967,1.17E+06
47.5795,-122.285,2.10E+06
47.6215,-122.224,1.58E+06
47.5743,-122.209,865000
47.3694,-122.032,470000
47.4797,-122.358,621500
47.5485,-122.302,495000
47.4503,-122.157,270000
47.5237,-122.199,502500
47.6828,-122.388,525000
47.6567,-122.13,550000
47.371,-122.127,335000
47.654,-122.337,695000
47.549,-122.305,337500
47.5407,-121.86,772500
47.7632,-122.29,464500
47.6729,-122.299,660000
47.6102,-121.993,1.06E+06
47.6168,-122.216,2.45E+06
47.6317,-122.114,589000
47.5459,-122.27,367777
47.7285,-122.179,575000
47.4218,-122.218,220000
47.6914,-122.214,1.65E+06
47.5825,-121.97,759000
47.551,-122.369,430000
47.6806,-122.167,880000
47.5895,-122.229,1.58E+06
47.5442,-121.996,856000
47.5298,-122.344,495000
47.3426,-122.285,250000
47.5317,-122.233,2.95E+06
47.3097,-122.34,341500
47.6389,-122.098,695500
47.7755,-122.235,385000
47.65,-122.214,7.06E+06
47.5618,-122.037,1.02E+06
47.3307,-122.324,235500
47.5977,-121.981,735000
47.6373,-122.35,762000
47.4519,-122.13,359950
47.5786,-122.287,2.50E+06
47.4487,-122.117,405000
47.5738,-122.315,470000
47.4432,-122.135,346500
47.5305,-122.391,480000
47.6724,-122.317,750500
47.6722,-122.349,825000
47.6411,-122.207,1.19E+06
47.5511,-122.386,438000
47.7056,-122.34,550000
47.2863,-122.196,270000
47.3733,-122.214,329500
47.6522,-122.366,475000
